"Country","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"Niger","83","81","81","81","81","81","81","81","84","84","84","84","84","79","73","69","66","65","65","64","63","62","63","57","58","57","57","56","49","40","17","14","9","7","5","5","5","5","4","3",""
"Nigeria","65","60","60","55","55","55","55","60","60","60","69","67","64","63","63","62","61","61","60","59","57","49","48","48","46","44","36","35","35","33","32","30","29","22","16","11","10","12","11","10",""
"Oman","99","99","99","99","98","98","98","91","91","91","91","91","91","95","94","94","94","94","94","94","94","94","94","94","78","80","86","93","89","87","93","89","85","65","42","82","37","31","29","32","35"
"Pakistan","85","85","85","85","80","75","75","75","75","75","84","84","80","78","80","78","78","79","79","74","71","70","68","67","65","63","62","62","59","55","50","40","31","32","20","12","8","4","1","1",""
"Papua New Guinea","67","70","70","70","70","70","70","65","70","61","61","61","61","60","57","53","49","46","47","45","24","30","31","68","69","60","51","41","51","75","78","62","62","31","21","25","10","21","32","39","45"
"Paraguay","95","95","95","95","85","85","85","85","85","85","85","74","74","74","81","78","68","61","61","39","47","55","61","67","71","75","79","82","85","67","66","66","65","63","53","42","30","18","11","10","26"
"Peru","95","95","95","95","85","85","85","85","85","85","85","67","67","67","66","65","65","63","62","62","66","65","64","62","56","50","44","38","31","24","19","14","9","6","5","5","5","5","4","4",""
"Philippines","91","90","90","90","90","90","87","80","76","76","75","68","58","58","61","57","57","56","56","56","55","55","55","55","55","54","54","57","56","55","57","53","45","39","31","28","22","23","17","13","8"
"Rwanda","97","95","95","90","90","90","90","85","85","85","85","85","85","82","82","79","77","77","79","71","81","89","84","79","74","89","80","69","88","86","85","60","55","47","35","28","22","16","10","5",""
"Sao Tome and Principe","99","99","99","99","99","99","99","99","99","99","99","98","98","98","98","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senegal","95","95","95","95","91","91","91","91","91","88","88","88","88","85","86","80","78","77","72","64","62","58","54","53","55","54","47","45","41","45","45","38","31","23","14","7","","","","",""
"Seychelles","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","98","98","98","","","","","",""
"Sierra Leone","93","93","90","90","90","85","85","87","87","85","85","97","97","94","85","83","81","79","77","66","53","53","55","57","83","76","66","87","86","85","85","83","81","69","54","38","23","20","13","11","8"
"Solomon Islands","87","85","85","85","85","85","85","85","85","85","85","85","85","84","74","74","82","78","74","75","75","75","75","75","78","81","73","70","76","74","71","65","58","47","29","27","20","","","",""
"Somalia","60","67","67","67","67","67","64","64","64","64","64","64","49","50","51","47","45","45","48","48","47","47","47","48","48","48","48","49","49","50","49","48","45","35","26","16","9","6","3","1",""
"South Africa","90","90","90","90","80","80","80","77","77","77","77","75","75","72","74","59","60","61","62","66","68","59","49","39","30","29","28","26","23","","","","","","","","","","","",""
"South Sudan","65","68","68","68","68","68","64","64","64","64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sri Lanka","99","99","99","99","95","95","95","95","95","95","86","93","93","91","90","87","91","91","89","92","92","86","80","85","85","81","80","82","82","76","72","64","61","59","53","50","53","51","50","48","45"
"Sudan","81","80","80","80","77","77","74","74","74","74","74","74","70","72","70","68","68","65","62","63","61","76","71","69","64","76","68","62","64","72","72","30","20","14","7","4","3","2","1","1",""
"Suriname","95","93","93","93","93","93","93","93","93","93","93","93","93","93","93","92","92","92","92","92","92","92","92","92","92","92","92","92","92","92","92","92","91","89","","","","","","",""
"Syrian Arab Republic","90","91","91","91","91","91","92","94","94","94","94","94","94","92","93","92","91","92","90","90","90","86","82","79","82","76","75","84","72","69","63","25","14","19","9","8","6","5","3","3","1"
"Thailand","98","98","98","98","95","95","95","91","91","91","91","91","91","89","88","88","88","88","86","86","85","85","83","82","83","87","84","71","76","74","75","67","60","62","40","41","38","43","39","32","25"
"Timor-Leste","83","83","83","83","81","81","81","81","81","81","81","81","66","59","63","59","64","58","55","","","","","","","","","","","","","","","","","","","","","",""
"Togo","83","83","83","83","81","81","81","77","81","81","81","81","81","82","81","81","79","75","60","60","63","62","51","57","55","52","26","29","27","30","47","44","68","","","","","","","",""
"Tunisia","97","97","96","96","96","96","96","96","96","96","96","96","96","96","89","90","89","87","86","87","68","82","85","80","80","58","56","57","54","42","40","39","37","27","14","8","5","3","3","2","2"
"Türkiye","95","95","95","95","90","90","90","90","90","90","90","71","71","70","68","62","77","53","52","52","50","49","48","47","43","42","43","75","75","75","20","15","11","","","","","","","",""
"Uganda","83","85","85","85","85","85","85","85","85","85","85","89","85","85","83","85","82","78","78","72","70","69","68","72","77","82","83","84","82","50","41","29","22","19","13","12","16","19","19","18",""
"United Republic of Tanzania","91","91","90","90","90","90","88","88","88","88","83","90","81","81","81","81","80","80","80","80","79","81","81","81","85","85","84","83","82","81","77","75","65","64","59","51","44","43","41","38","37"
"Vanuatu","78","78","78","78","78","78","75","75","75","75","73","73","73","73","88","84","78","77","82","87","86","84","76","23","29","33","30","56","54","25","47","20","20","25","19","19","6","6","","",""
"Venezuela (Bolivarian Republic of)","67","70","70","70","75","75","75","75","50","50","50","50","52","51","49","51","48","48","26","24","","","","","","","","","","","","","","","","","","","","",""
"Viet Nam","96","96","94","94","94","94","91","91","91","87","87","87","84","86","87","86","85","85","86","86","86","83","82","86","89","80","76","69","38","21","24","18","5","","","","","","","",""
"Yemen","70","70","70","70","70","70","70","70","66","66","66","66","63","52","56","59","69","65","68","58","54","41","39","30","33","30","17","12","15","14","17","7","4","8","3","3","","","","",""
"Zambia","85","85","85","85","85","85","85","81","81","81","90","90","90","89","90","91","90","89","87","85","78","74","70","66","87","85","75","60","46","73","62","51","44","42","36","","","","","",""
"Zimbabwe","87","87","87","87","75","75","75","66","66","66","76","76","76","78","78","77","79","78","78","77","76","75","74","78","75","42","69","68","65","60","57","54","54","55","56","44","31","","","",""
